build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
104233026,3e1892cb165ec5c635436013ecb18e2d1f15fb20,920,master,failed,368,2016-01-23 02:24:26 UTC,104233027,104233028,pull_request
104158009,24f395bca0e2a17c9bec06f7b12c68e22fd456ef,,3.0,passed,1189,2016-01-22 19:09:08 UTC,104158010,push
104122311,fdd875343362f5471b5b3666c2f347da4fc30f76,917,3.0,passed,1040,2016-01-22 16:04:12 UTC,104122312,pull_request
103988712,5807fe618cf8a019188875f3de19f2eb719ec748,917,3.0,passed,498,2016-01-22 00:32:15 UTC,103988713,pull_request
102834319,a54f60fc48b8e5c012db7565575379b07ff17f50,,master,passed,1157,2016-01-16 20:30:39 UTC,102834320,102834322,push
102665908,dc21ef737a1f9a0289a135813cd4290bd1215128,,master,passed,1091,2016-01-15 19:02:04 UTC,102665909,102665910,push
102637741,e615f3fa59a8b075dc2785f4487f68a16de466d3,897,master,passed,1023,2016-01-15 16:40:29 UTC,102637742,102637743,pull_request
102365765,735291ad9075a8673f10982274aab93e9661f866,,3.0,passed,403,2016-01-14 14:57:12 UTC,102365766,push
102317365,a8f9ea4f5f3b9bdcd898dcec93f4e03188576c07,892,3.0,passed,411,2016-01-14 10:42:43 UTC,102317366,pull_request
102314311,9f9e0f000fc55c6cd4a1f1c99b93d005685fa75a,891,3.0,passed,446,2016-01-14 10:26:34 UTC,102314312,pull_request
102247991,7709c36561e4b52345b8c2309fcba868d62505bc,,3.0,passed,350,2016-01-14 01:46:04 UTC,102247992,push
102243793,1ddee4d8ac7675fd1865ea3e4ef49b9b28e8f93e,887,3.0,passed,337,2016-01-14 01:09:39 UTC,102243794,pull_request
102222622,dad410e827b0f941645368ea2c3e3bfbc161c915,887,3.0,passed,479,2016-01-13 22:54:27 UTC,102222623,pull_request
102220792,8ac7ebe20101966697ea718599ac679aff58135e,887,3.0,failed,182,2016-01-13 22:45:14 UTC,102220793,pull_request
101718060,2f8dd4eccb9c5f895aef3c52b31219de25965898,,master,passed,1015,2016-01-11 23:47:37 UTC,101718061,101718062,push
101714786,e8c2fd60e70be4e050782e5c80de221bf574244c,881,master,passed,1058,2016-01-11 23:28:53 UTC,101714787,101714788,pull_request
101677668,04b85152941bbc09fa1e430a9264d6904a09ae57,,master,passed,1199,2016-01-11 20:31:51 UTC,101677669,101677672,push
101652254,1439c67e7b9f6c13eec7f394d908aa1b3fe080ae,,master,passed,1069,2016-01-11 18:30:26 UTC,101652255,101652256,push
101650586,a714090fb30d3d389fbcaf0b5440052ed5b43f98,874,master,passed,929,2016-01-11 18:21:11 UTC,101650587,101650588,pull_request
101633150,9bb9e92f70e5cb4d05b5c96ec5241fc41e871db9,874,master,errored,23,2016-01-11 17:06:00 UTC,101633151,101633152,pull_request
101632826,895163d1ca739d58fcde4157f8c3dde7be4433bc,874,master,errored,23,2016-01-11 17:03:58 UTC,101632827,101632828,pull_request
101627342,00426d31e3a9c2c2c18d811800bab2bfee0dff5d,874,master,errored,17,2016-01-11 16:40:33 UTC,101627343,101627345,pull_request
100940410,c34e7d73b4394b55d3417a231921d6d53b68a9b5,874,master,errored,14,2016-01-07 22:47:47 UTC,100940411,100940413,pull_request
100937121,fc2a7587772b8bf18e2ebfb2f74251b91334c0d6,874,master,errored,15,2016-01-07 22:29:45 UTC,100937122,100937123,pull_request
99975839,734c54c03b8835e99bf0f3385e82017b609bb193,,master,passed,943,2016-01-03 17:51:51 UTC,99975840,99975841,push
99957367,bcb3820080395e8472618eaed7606231d3e5504f,856,master,passed,1009,2016-01-03 15:03:46 UTC,99957368,99957369,pull_request
99918188,8824500094dfe0fbfd74cdcc4d404672231a43f3,856,master,failed,430,2016-01-03 06:37:55 UTC,99918189,99918190,pull_request
99915040,2745e52c6438ccefc5d8abd672c17aeaddcc52d1,856,master,passed,906,2016-01-03 05:44:12 UTC,99915041,99915042,pull_request
99914952,7b09d941fcf51f9cdcb23cf67ead5e37c2d2b8f9,856,master,passed,947,2016-01-03 05:42:10 UTC,99914953,99914954,pull_request
99837007,6bee5647f2bf85a8e4a6f8f59418bf0303bba68b,856,master,failed,233,2016-01-02 16:14:38 UTC,99837008,99837009,pull_request
99647704,3557f4b6dbf519d3b29561a200d82f94b4d0fc65,,master,passed,1002,2015-12-31 20:39:17 UTC,99647705,99647706,push
99586138,8ce3221cdc2c8d7b46ceef8ad658a9249a5aa172,855,master,passed,854,2015-12-31 12:05:26 UTC,99586139,99586140,pull_request
99572187,ba95ff4b0f7b6121947c31d198c0e110d11067ef,854,master,passed,1016,2015-12-31 09:46:10 UTC,99572188,99572190,pull_request
96494442,28859ec29420788d35da69606db96f3a94c9e4e8,,master,passed,907,2015-12-12 21:18:24 UTC,96494443,96494444,push
95734158,31c509e48d1dff30dd47ae72b35b06d8aefd6448,798,master,passed,919,2015-12-09 05:15:29 UTC,95734159,95734160,pull_request
95553430,3d5d43a9480a37172fb31d651478b79687d64210,796,master,passed,1045,2015-12-08 11:27:52 UTC,95553431,95553432,pull_request
95533717,fd826284b1b2432f08cb59c1e947167a46a84cb6,796,master,failed,758,2015-12-08 09:24:37 UTC,95533718,95533719,pull_request
95529660,6afad1b017d6c02b91b1fe2c32d23f305e163996,796,master,failed,756,2015-12-08 08:54:12 UTC,95529661,95529662,pull_request
94548955,7fe2d14985c4e1fa30254930cb0d75c875f073b2,,master,passed,1027,2015-12-03 02:12:33 UTC,94548956,94548957,push
94529779,05c5b8cb5a7c7e4309b80aeb3e45bdf14a90c779,,master,passed,1212,2015-12-02 23:47:36 UTC,94529780,94529781,push
94529674,2a4e75a21fea39e1c069e86ed197e3e076667d43,,master,passed,1082,2015-12-02 23:46:54 UTC,94529675,94529676,push
94523003,32f25e61f2e3deaf82a09ddb5abc0dcebacf4ff8,,master,passed,1016,2015-12-02 23:11:07 UTC,94523004,94523005,push
93366561,38cae1c82d0c1cb878485cef4b15bb18441ee9ff,771,master,passed,1006,2015-11-26 14:20:22 UTC,93366562,93366563,pull_request
93352168,afb53844cd3a4583141e2d69de71e2416fc65d34,772,master,passed,802,2015-11-26 12:48:09 UTC,93352169,93352170,pull_request
93333792,d2ad18f05a1f4e16b1354d266995eb5b73417dbc,771,master,failed,515,2015-11-26 10:39:30 UTC,93333793,93333794,pull_request
93196592,700e2da827d2ffa68cecd07c6f435698d4d32a2a,771,master,failed,606,2015-11-25 16:56:25 UTC,93196593,93196594,pull_request
93188122,958673285748732dc2b69650e28491640fdefe60,,master,passed,1063,2015-11-25 16:12:40 UTC,93188123,93188125,push
93141869,8b3cd4a533d49b5a0e5f4b87a8698bd88a838d80,771,master,failed,483,2015-11-25 11:49:48 UTC,93141870,93141871,pull_request
93140348,e77a908696987709461b07255bcc7fea15ba34e4,771,master,failed,456,2015-11-25 11:36:35 UTC,93140349,93140350,pull_request
